x,y,species cloglog values
475.0,475.0,0.09828659
476.0,476.0,0.003660083
477.0,477.0,0.23844428
478.0,478.0,0.62524855
479.0,479.0,0.07602273
480.0,480.0,0.51599497
481.0,481.0,0.044635516
482.0,482.0,0.5465589
483.0,483.0,0.1600681
484.0,484.0,0.6237214
485.0,485.0,0.5878301
486.0,486.0,0.56355995
487.0,487.0,0.1416596
488.0,488.0,0.8168574
489.0,489.0,0.34216496
490.0,490.0,0.084811196
491.0,491.0,0.56594265
492.0,492.0,0.60784554
493.0,493.0,0.014057753
494.0,494.0,0.5796579
495.0,495.0,0.035378832
496.0,496.0,0.29892465
497.0,497.0,0.84573895
498.0,498.0,0.7524942
499.0,499.0,0.471733
500.0,500.0,0.41171455
501.0,501.0,0.19750069
502.0,502.0,0.24997345
503.0,503.0,0.5154936
504.0,504.0,0.33460164
505.0,505.0,0.015483839
506.0,506.0,0.2483208
507.0,507.0,0.10861722
508.0,508.0,0.6705322
509.0,509.0,0.3184707
510.0,510.0,0.51968855
511.0,511.0,0.22809573
512.0,512.0,0.28593937
513.0,513.0,0.06226874
514.0,514.0,0.5381925
515.0,515.0,0.6497725
516.0,516.0,0.16404222
517.0,517.0,0.40475965
518.0,518.0,0.24929944
519.0,519.0,0.6667302
520.0,520.0,0.39195845
521.0,521.0,0.17927073
522.0,522.0,0.4686679
523.0,523.0,0.6118001
524.0,524.0,0.12556274
525.0,525.0,0.62902766
526.0,526.0,0.37588024
527.0,527.0,0.71985847
528.0,528.0,0.47259924
529.0,529.0,0.028102208
530.0,530.0,0.3978809
531.0,531.0,0.47215062
532.0,532.0,0.3095781
533.0,533.0,0.45516875
534.0,534.0,0.037110846
535.0,535.0,0.7733475
536.0,536.0,0.09169446
537.0,537.0,0.07369135
538.0,538.0,0.34316474
539.0,539.0,0.5532185
540.0,540.0,0.27817005
541.0,541.0,0.54368913
542.0,542.0,0.28948316
543.0,543.0,0.47292852
544.0,544.0,0.5476264
545.0,545.0,0.0057298774
546.0,546.0,0.85151637
547.0,547.0,0.5517157
548.0,548.0,0.07308529
549.0,549.0,0.12987746
550.0,550.0,0.05594673
551.0,551.0,0.2640826
552.0,552.0,0.30210537
553.0,553.0,0.15391703
554.0,554.0,0.6241992
555.0,555.0,0.6491556
556.0,556.0,0.21260977
557.0,557.0,0.102047585
558.0,558.0,0.12725244
559.0,559.0,0.51461655
560.0,560.0,0.12007717
561.0,561.0,0.7057461
562.0,562.0,0.074897714
563.0,563.0,0.38996258
564.0,564.0,0.5224294
565.0,565.0,0.012676848
566.0,566.0,0.728783
567.0,567.0,0.10605753
568.0,568.0,0.024164252
569.0,569.0,0.32540917
570.0,570.0,0.84493756
571.0,571.0,0.62820196
572.0,572.0,0.42106584
573.0,573.0,0.58395314
574.0,574.0,0.6041506
575.0,575.0,0.08650633
576.0,576.0,0.6484689
577.0,577.0,0.5635838
578.0,578.0,0.11217017
579.0,579.0,0.56862
580.0,580.0,0.49191928
581.0,581.0,0.56981784
582.0,582.0,0.38701734
583.0,583.0,0.5661799
584.0,584.0,0.43257058
585.0,585.0,0.33561754
586.0,586.0,0.08897742
587.0,587.0,0.28723422
588.0,588.0,0.34888202
589.0,589.0,0.09248044
590.0,590.0,0.37966192
591.0,591.0,0.15534577
592.0,592.0,0.2375391
593.0,593.0,0.32971177
594.0,594.0,0.21183215
595.0,595.0,0.25258356
596.0,596.0,0.67682606
597.0,597.0,0.37030798
598.0,598.0,0.20900738
599.0,599.0,0.5859316
600.0,600.0,0.80296624
601.0,601.0,0.2881175
602.0,602.0,0.58411723
603.0,603.0,0.5741144
604.0,604.0,0.69521177
605.0,605.0,0.6314338
606.0,606.0,0.43394205
607.0,607.0,0.06922391
608.0,608.0,0.7399089
609.0,609.0,0.55332094
610.0,610.0,0.012812859
611.0,611.0,0.6661177
612.0,612.0,0.46149004
613.0,613.0,0.18534496
614.0,614.0,0.5762083
615.0,615.0,0.52315354
616.0,616.0,0.31162536
617.0,617.0,0.2970895
618.0,618.0,0.22071889
619.0,619.0,0.81650573
620.0,620.0,0.43413046
621.0,621.0,0.44647077
622.0,622.0,0.34227106
623.0,623.0,0.681351
624.0,624.0,0.6897671
625.0,625.0,0.6174263
626.0,626.0,0.20304507
627.0,627.0,0.69481415
628.0,628.0,0.0039643683
629.0,629.0,0.20305175
630.0,630.0,0.57192177
631.0,631.0,0.2402602
632.0,632.0,0.15681963
633.0,633.0,0.4008631
634.0,634.0,0.7202413
635.0,635.0,0.52242935
636.0,636.0,0.38231537
637.0,637.0,0.58862984
638.0,638.0,0.24626692
639.0,639.0,0.072298676
640.0,640.0,0.41091916
641.0,641.0,0.068196386
642.0,642.0,0.12389546
643.0,643.0,0.63902426
644.0,644.0,0.74007404
645.0,645.0,0.5695952
646.0,646.0,0.020663904
647.0,647.0,0.74015355
648.0,648.0,0.13050143
649.0,649.0,0.3377509
650.0,650.0,0.19533706
651.0,651.0,0.02648036
652.0,652.0,0.6847113
653.0,653.0,0.124461606
654.0,654.0,0.39434692
655.0,655.0,0.44085547
656.0,656.0,0.55703723
657.0,657.0,0.591428
658.0,658.0,0.08936674
659.0,659.0,0.13740775
660.0,660.0,0.27748436
661.0,661.0,0.1429834
662.0,662.0,0.55703354
663.0,663.0,0.01699615
664.0,664.0,0.21989504
665.0,665.0,0.2294526
666.0,666.0,0.65699
667.0,667.0,0.06341535
668.0,668.0,0.26503673
669.0,669.0,0.63034046
670.0,670.0,0.46482056
671.0,671.0,0.5817223
672.0,672.0,0.5812705
673.0,673.0,0.58124614
674.0,674.0,0.010987185
675.0,675.0,0.013282619
676.0,676.0,0.7803815
677.0,677.0,0.8087969
678.0,678.0,0.38739267
679.0,679.0,0.07796149
680.0,680.0,0.11903197
681.0,681.0,0.25831792
682.0,682.0,0.27227783
683.0,683.0,0.26420787
684.0,684.0,0.26364186
685.0,685.0,0.37206602
686.0,686.0,0.004395772
687.0,687.0,0.48546138
688.0,688.0,0.0034815257
689.0,689.0,0.6701512
690.0,690.0,0.7979671
691.0,691.0,0.5802328
692.0,692.0,0.008317077
693.0,693.0,0.6514181
694.0,694.0,0.013005468
695.0,695.0,0.61161643
696.0,696.0,0.69697165
697.0,697.0,0.016645454
698.0,698.0,0.7795442
699.0,699.0,0.15719126
700.0,700.0,0.49836972
701.0,701.0,0.056778003
702.0,702.0,0.74741846
703.0,703.0,0.55343723
704.0,704.0,0.29833528
705.0,705.0,0.6961986
706.0,706.0,0.52858394
707.0,707.0,0.71657866
708.0,708.0,0.60914344
709.0,709.0,0.534795
710.0,710.0,0.46924356
711.0,711.0,0.35265866
712.0,712.0,0.3784811
713.0,713.0,0.1610964
714.0,714.0,0.28377217
715.0,715.0,0.6632308
716.0,716.0,0.57754076
717.0,717.0,0.51508176
718.0,718.0,0.63318115
719.0,719.0,0.26427218
720.0,720.0,0.60660636
721.0,721.0,0.44191074
722.0,722.0,0.59184533
723.0,723.0,0.51143694
724.0,724.0,0.3225175
725.0,725.0,0.1830738
726.0,726.0,0.5967405
727.0,727.0,0.36152488
728.0,728.0,0.25431684
729.0,729.0,0.6792453
730.0,730.0,0.7741096
731.0,731.0,0.24449629
732.0,732.0,0.17992638
733.0,733.0,0.03672884
734.0,734.0,0.23009177
735.0,735.0,0.23953286
736.0,736.0,0.050589357
737.0,737.0,0.61028963
738.0,738.0,0.4501265
739.0,739.0,0.52430385
740.0,740.0,0.27143857
741.0,741.0,0.3851489
742.0,742.0,0.5736954
743.0,743.0,0.6240022
744.0,744.0,0.25111204
745.0,745.0,0.377876
746.0,746.0,0.62061375
747.0,747.0,0.09358328
748.0,748.0,0.12748179
749.0,749.0,0.30655217
750.0,750.0,0.45684987
751.0,751.0,0.3158015
752.0,752.0,0.7376954
753.0,753.0,0.49689662
754.0,754.0,0.39571682
755.0,755.0,0.04147746
756.0,756.0,0.5026709
757.0,757.0,0.30015457
758.0,758.0,0.36649686
759.0,759.0,0.15679614
760.0,760.0,0.59098125
761.0,761.0,0.19227514
762.0,762.0,0.31290597
763.0,763.0,0.19526486
764.0,764.0,0.23717886
765.0,765.0,0.7608207
766.0,766.0,0.31949374
767.0,767.0,0.14095731
768.0,768.0,0.53954726
769.0,769.0,0.16162546
770.0,770.0,0.43389276
771.0,771.0,0.4614452
772.0,772.0,0.6988105
773.0,773.0,0.20458125
774.0,774.0,0.11449187
775.0,775.0,0.7766937
776.0,776.0,0.50763583
777.0,777.0,0.103175476
778.0,778.0,0.70985717
779.0,779.0,0.048924793
780.0,780.0,0.5419641
781.0,781.0,0.09822052
782.0,782.0,0.19355755
783.0,783.0,0.67858386
784.0,784.0,0.08163586
785.0,785.0,0.2626531
786.0,786.0,0.20239872
787.0,787.0,0.6013552
788.0,788.0,0.5964849
789.0,789.0,0.31158406
790.0,790.0,0.3858338
791.0,791.0,0.31001335
792.0,792.0,0.28381902
793.0,793.0,0.29020613
794.0,794.0,0.3681137
795.0,795.0,0.6416759
796.0,796.0,0.2903879
797.0,797.0,0.11182983
798.0,798.0,0.18788257
799.0,799.0,0.6481291
800.0,800.0,0.59515053
801.0,801.0,0.6173743
802.0,802.0,0.55022115
803.0,803.0,0.5273424
804.0,804.0,0.67901826
805.0,805.0,0.64664304
806.0,806.0,0.68723494
807.0,807.0,0.76957583
808.0,808.0,0.029354649
809.0,809.0,0.556213
810.0,810.0,0.44671217
811.0,811.0,0.44773504
812.0,812.0,0.43644458
813.0,813.0,0.30946782
814.0,814.0,0.67863655
815.0,815.0,0.52440494
816.0,816.0,0.44234645
817.0,817.0,0.031930562
818.0,818.0,0.5746007
819.0,819.0,0.59437406
820.0,820.0,0.62868583
821.0,821.0,0.49608308
822.0,822.0,0.61522645
823.0,823.0,0.6380201
824.0,824.0,0.35005033
825.0,825.0,0.34988078
826.0,826.0,0.011137814
827.0,827.0,0.7159411
828.0,828.0,0.5440082
829.0,829.0,0.22660762
830.0,830.0,0.3597427
831.0,831.0,0.54476124
832.0,832.0,0.2949271
833.0,833.0,0.24768417
834.0,834.0,0.47168994
835.0,835.0,0.35446396
836.0,836.0,0.62314266
837.0,837.0,0.56809705
838.0,838.0,0.65958774
839.0,839.0,0.24318199
840.0,840.0,0.09363198
841.0,841.0,0.51692766
842.0,842.0,0.7247248
843.0,843.0,0.24769355
844.0,844.0,0.6611711
845.0,845.0,0.103845455
846.0,846.0,0.32119998
847.0,847.0,0.24003886
848.0,848.0,0.57939875
849.0,849.0,0.46051073
850.0,850.0,0.53800464
851.0,851.0,0.11217349
852.0,852.0,0.58373
853.0,853.0,0.63518834
