Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.81535E-4,47.507202302,0.666667198,0.291971757,0.459700542,0
1.81825E-4,47.761536153,0.667252193,0.290141213,0.461930551,0
1.82165E-4,48.01630039,0.667934596,0.288310669,0.465116279,0
1.8246E-4,48.253295214,0.668528702,0.286610879,0.468939153,0
1.83153E-4,48.509307831,0.669914465,0.284780335,0.470850589,0
1.83624E-4,48.766147248,0.670853589,0.282949791,0.47435489,0
1.83955E-4,49.005088465,0.671512297,0.28125,0.4765849,0
1.84766E-4,49.263212122,0.673121182,0.279419456,0.479452055,0
1.85095E-4,49.503655304,0.673771279,0.277719665,0.482637783,0
1.85695E-4,49.763253744,0.674954421,0.275889121,0.485186365,0
1.86206E-4,50.005022432,0.675957028,0.274189331,0.487416375,0
1.8664E-4,50.266013279,0.67680709,0.272358787,0.490920675,0
1.87166E-4,50.509001236,0.677834276,0.270658996,0.493787831,0
1.87482E-4,50.752533421,0.678450682,0.268959205,0.496973558,0
1.87891E-4,51.015273263,0.679245288,0.267128661,0.499522141,0
1.88759E-4,51.260319199,0.680926622,0.26542887,0.501115005,0
1.89344E-4,51.506031988,0.682054063,0.263729079,0.504300733,0
1.90008E-4,51.752599182,0.683327623,0.262029289,0.507486461,0
1.90357E-4,52.018886334,0.683996208,0.260198745,0.510035043,0
1.90894E-4,52.266718832,0.68502129,0.258498954,0.513220771,0
1.91547E-4,52.515337319,0.686264827,0.256799163,0.517043644,0
1.92059E-4,52.764604122,0.687234951,0.255099372,0.520229372,0
1.92514E-4,53.014587495,0.688095194,0.253399582,0.522140809,0
1.93174E-4,53.265350605,0.689338023,0.251699791,0.524370819,0
1.93515E-4,53.516677186,0.689979003,0.25,0.526600828,0
1.93957E-4,53.768614861,0.690806172,0.248300209,0.528830838,0
1.94472E-4,54.001773991,0.691768155,0.246731172,0.53137942,0
1.95054E-4,54.254972455,0.692853312,0.245031381,0.53360943,0
1.95655E-4,54.508972625,0.693968037,0.24333159,0.536158012,0
1.96168E-4,54.763772711,0.694916287,0.241631799,0.538388022,0
1.96709E-4,55.019174752,0.695914169,0.239932008,0.540618031,0
1.9729E-4,55.25562156,0.696980419,0.238362971,0.543166614,0
1.9766E-4,55.512312796,0.697657912,0.23666318,0.546670914,0
1.97995E-4,55.769492426,0.698271266,0.234963389,0.550175215,0
1.98542E-4,56.007390798,0.699268882,0.233394351,0.552086652,0
1.98969E-4,56.265805547,0.700044426,0.231694561,0.554316661,0
1.9919E-4,56.504698175,0.700444892,0.230125523,0.558139535,0
2.00307E-4,56.764532489,0.702463933,0.228425732,0.560050972,0
2.00813E-4,57.005300236,0.703373671,0.226856695,0.563555272,0
2.0163E-4,57.26679822,0.704836316,0.225156904,0.564829564,0
