"lon" "lat" "w.dist" "w.lon" "w.lat" "ID" "temp" "rain" "tpi" "slope" "aspect"
"334" 12.4291666666667 48.5625 4783.61066049212 12.4797774034151 48.5356407874836 1951 77 868 -5.375 0.382629815213399 4
"335" 10.9875 48.4791666666667 8100.06911391346 10.8792801889831 48.4670405422726 1943 81 833 11.625 0.120544195275984 7
"336" 13.4208333333333 48.6208333333333 1480.41564373777 13.4409275626277 48.6201883924523 1916 84 946 0 1.25700644020337 3
"337" 12.9791666666667 49.3041666666667 1809.44935073938 12.9572689328649 49.3119368405842 1861 72 757 21 0.52084268045923 8
"338" 11.9208333333333 47.7708333333333 961.935817053127 11.9081115361227 47.7696951969354 2101 72 1002 -18.75 1.44591047572517 6
"341" 10.2208333333333 47.8708333333333 2199.69739605822 10.191527279178 47.8724441063016 2079 69 1009 2.125 2.31322320112794 1
"343" 12.8375 47.9625 5294.73362820748 12.8583430965019 48.0080164580627 2025 87 1085 -1.75 0.301376138865692 7
"344" 11.1958333333333 48.5958333333333 2112.8861751812 11.1758912413873 48.6094844971386 1920 85 780 -4.875 1.30216085981419 8
"349" 10.3875 47.4458333333333 2132.72954165195 10.3592224503041 47.4458884761755 2139 8 1341 180.125 9.77168752225196 2
"351" 12.5041666666667 49.0291666666667 3236.79932500292 12.5206947711538 49.0561675996029 1870 66 843 9.5 1.20296917928863 7
"352" 11.0708333333333 48.9125 3261.68342502382 11.0522221647524 48.8858604483658 662 76 798 7.5 0.957728866478523 5
"353" 11.1958333333333 47.4708333333333 5083.62375056943 11.233083643438 47.4327240586161 2143 62 1009 -36.375 0.360901805871868 7
